black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
black win | rnbqkbn1/8/8/8/8/8/q2p4/1K6 w q - 2 45
100 game(s) computed in 162471ms
