draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
draw by threefold repitition | rnbqkb1r/pp4pp/4pn2/2pp1p2/8/5N2/PPPPPPPP/RNBQKB1R w Qkq - 10 10
50 game(s) computed in 204101ms
